SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
0.5632816408204101,0.6666666666666666,1,0,0.2676056338028161,215355.28361820136
0.7298649324662331,0.33333333333333337,2,0,0.4225352112676042,195014.22162584803
0.4302151075537769,0.0,1,1,0.28169014084506827,306891.0120763329
0.6473236618309154,0.0,1,2,0.6478873239436602,206786.78715332696
0.5652826413206603,0.9999999999999999,2,1,0.7183098591549282,272436.239065061
0.5477738869434717,0.0,3,1,0.9859154929577443,198208.80390657103
0.8624312156078039,0.0,1,1,0.6056338028169002,343429.3191099182
0.5222611305652826,0.6666666666666666,3,0,0.0985915492957723,184992.321268412
0.8194097048524261,0.6666666666666666,3,2,0.1267605633802802,377998.58815204125
0.06053026513256632,0.9999999999999999,2,2,0.7605633802816882,95961.92601406392
0.23311655827913957,0.9999999999999999,3,1,0.01408450704225217,191113.7686788604
0.6193096548274136,0.33333333333333337,3,1,0.52112676056338,253358.64500167352
0.16508254127063537,0.0,2,1,0.591549295774648,132172.3926169813
0.7413706853426713,0.6666666666666666,3,1,0.5492957746478879,231157.02767588635
0.04352176088044024,0.6666666666666666,1,2,0.36619718309859195,118393.82316264397
0.6983491745872937,0.0,2,1,0.6056338028169002,267377.3996858498
0.5617808904452225,0.9999999999999999,2,0,0.08450704225352013,190773.14856300573
0.4357178589294647,0.6666666666666666,2,1,0.3802816901408441,172989.80490101498
0.8439219609804903,0.9999999999999999,1,2,0.408450704225352,239222.6677969504
0.06503251625812911,0.6666666666666666,3,0,0.16901408450704025,143050.20178240183
0.8429214607303651,0.6666666666666666,3,2,0.6901408450704203,405523.82831733953
0.6663331665832916,0.33333333333333337,3,0,0.3943661971830963,263954.1540627713
0.38469234617308656,0.6666666666666666,1,1,0.18309859154929597,148310.62016790514
0.17158579289644826,0.0,3,0,0.887323943661972,151733.92248999208
0.7578789394697348,0.0,3,2,0.887323943661972,307961.1073823952
0.7188594297148575,0.0,1,0,0.7605633802816882,276162.86180465267
0.40270135067533763,0.9999999999999999,1,0,0.7323943661971839,243985.2054715822
0.19259629814907453,0.6666666666666666,3,0,0.6478873239436602,88030.54185271678
0.6078039019509754,0.9999999999999999,1,2,0.02816901408450434,282908.98169371625
0.47773886943471733,0.33333333333333337,1,0,0.9014084507042242,240976.55176671065
0.1380690345172586,0.6666666666666666,1,0,0.21126760563380031,104747.33458904953
0.5922961480740371,0.0,2,1,0.1267605633802802,347207.38956128363
0.22961480740370188,0.33333333333333337,2,0,0.7887323943661961,77493.9314389322
0.6688344172086044,0.33333333333333337,3,1,0.816901408450704,331851.0816694101
0.010505252626313188,0.6666666666666666,3,0,0.887323943661972,110408.67080143408
0.12606303151575793,0.0,1,2,0.6056338028169002,127932.75677961828
0.3736868434217109,0.9999999999999999,3,0,0.4507042253521121,228683.2269961876
0.4282141070535268,0.6666666666666666,2,0,0.1267605633802802,124711.70785494654
